"n_tx_ports","n_rx_ant","stream_count","batch","median_batch_wall_avg_us","median_throughput_equivalent_us","median_subframes_per_second","median_h2d_us","median_ce_mmse_us","median_llr_us","median_rate_recovery_us","median_viterbi_us","median_crc_us","median_d2h_us","median_host_submit_us","median_host_collect_us","h2d_bytes","d2h_bytes","spread_percent"
"1","1","1","1","386.23","386.23","2589.16","34.5","82.55","52.12","5.02","89.29","11.48","35.99","214.92","152.66","167040","148","13.8776717508166"
"1","1","1","2","752.89","376.45","2656.41","35.24","81.49","49.15","4.99","89.11","11.43","33.7","212.89","145.29","167040","148","0.499999999999999"
"1","1","1","4","1620.52","405.13","2468.34","36.57","91.97","61.4","5.48","90.14","11.43","34.85","245.63","146.67","167040","148","7.03665525914319"
"1","1","1","8","3066.75","383.34","2608.62","34.37","84.01","54.22","5.05","89.26","11.39","34.36","220.89","146.01","167040","148","3.88737845821156"
"1","1","1","16","6113.92","382.12","2616.98","35.51","85.29","59.03","5.14","89.28","11.77","33.87","231.6","151.84","167040","148","5.17035997192419"
"1","1","2","1","341.51","341.51","2928.17","33","76.78","59.14","4.51","65.7","9.01","16.77","215.48","104.64","167040","148","0.893141290845812"
"1","1","2","2","580.59","290.3","3444.77","30.1","66.52","57.69","4.08","65.25","9.12","18.02","222.18","54.08","167040","148","7.7371005044009"
"1","1","2","4","1321.59","330.4","3026.66","32.35","76.41","71.88","7.37","68.06","9","22.35","248.01","59.94","167040","148","17.7644717451485"
"1","1","2","8","2697.65","337.21","2965.54","34.51","81.83","69.1","6.64","68.17","9.03","25.54","262.05","65.37","167040","148","19.9660405011707"
"1","1","2","16","5034.07","314.63","3178.35","32.12","75.16","64.3","5.62","66.75","9.1","21.83","244.94","53.78","167040","148","7.73738448759215"
"1","1","4","1","438.14","438.14","2282.38","40.56","95.54","81.36","6.04","71.51","9.02","25.04","301.91","121.65","167040","148","18.9271346767179"
"1","1","4","2","648.62","324.31","3083.49","34.01","75.44","61.43","5","66.45","8.99","23.34","251.97","69.02","167040","148","14.8873198896056"
"1","1","4","4","1085.72","271.43","3684.21","28.83","63.7","59.68","4.33","65.75","9.02","17.73","228.73","40.1","167040","148","21.8386037891137"
"1","1","4","8","2197.28","274.66","3640.87","26.82","64.92","61.51","4.57","65.93","8.99","19.47","214.16","38.78","167040","148","10.0223229897652"
"1","1","4","16","4802.68","300.17","3331.47","29.96","73.28","64.76","5.46","66.6","9.05","24.37","247.63","31.61","167040","148","10.307077982129"
"2","1","1","1","417.26","417.26","2396.59","65.32","79.98","55.04","5.22","89.4","11.78","34.04","217.34","193.15","396196","148","2.19845614272028"
"2","1","1","2","856.9","428.45","2333.99","66.46","81.93","58.93","6.19","89.27","11.85","33.06","229.9","175.04","396196","148","23.9458539780796"
"2","1","1","4","1604.54","401.13","2492.93","65.02","76.89","63.06","5.57","75.12","9.79","24.76","246.92","140.87","396196","148","3.91650043547888"
"2","1","1","8","2926.27","365.78","2733.86","64.21","67.44","53.18","4.86","73.21","9.6","17.64","219.84","139.79","396196","148","7.35392842483226"
"2","1","1","16","5989.6","374.35","2671.3","64.25","70.37","60.54","5.23","70.2","9.38","21.26","219.23","135.12","396196","148","4.68958392759399"
"2","1","2","1","363.75","363.75","2749.18","64.46","61.9","54.46","4.16","65.23","9.15","21.48","220.4","128.31","396196","148","9.13225314226662"
"2","1","2","2","620.82","310.41","3221.55","56.35","68.18","55","4.2","65.15","9.04","17.67","232.92","67.55","396196","148","6.37323908998731"
"2","1","2","4","1501.47","375.37","2664.06","60.85","88.93","69.71","6.76","69.77","9.07","29.77","301.74","70.62","396196","148","7.67158460231874"
"2","1","2","8","2526.97","315.87","3165.85","55.12","68.01","58.22","4.53","65.65","9.09","17.96","241.24","71.68","396196","148","11.1628947727249"
"2","1","2","16","5293.46","330.84","3022.59","56.04","73.93","59.47","5.05","66.37","9.06","19.95","258.31","63.49","396196","148","4.8872092283054"
"2","1","4","1","365.81","365.81","2733.7","63.66","63.85","58.2","4.3","65.08","9.02","17.12","218.31","138.59","396196","148","17.0689900248334"
"2","1","4","2","652.7","326.35","3064.22","55.47","67.51","56.72","4.8","65.35","9.12","18.88","251.83","59.23","396196","148","4.87866963642757"
"2","1","4","4","1190.18","297.54","3360.85","54.8","68.98","55.45","4.35","65.44","9.09","18.16","246.03","38.56","396196","148","16.1306942162119"
"2","1","4","8","2519.83","314.98","3174.82","52.68","74.91","60.09","5.02","66.39","9.04","21.16","261.05","42.05","396196","148","9.74176388452429"
"2","1","4","16","5077.07","317.32","3151.43","52.51","73.63","61.48","6.01","66.96","9.08","22.78","259.81","43.49","396196","148","5.92418957940155"
"4","1","1","1","389.02","389.02","2570.59","71.53","75.42","56.45","6.03","67.21","8.96","18.3","265.15","126.8","396100","148","27.6943655691925"
"4","1","1","2","760.61","380.3","2629.47","67.81","73.36","57.66","5.31","65.34","8.93","17.38","228.89","127.03","396100","148","5.14429204634086"
"4","1","1","4","1496.68","374.17","2672.58","65.4","75.76","54.41","5.06","66.38","8.98","20.96","233.34","134.48","396100","148","5.76184573159406"
"4","1","1","8","2942.93","367.87","2718.38","64.89","73.62","54.6","5.76","66.28","8.99","21.7","231.3","149.5","396100","148","15.0558456095628"
"4","1","1","16","6212.85","388.3","2575.31","65.46","75.66","57.64","5.58","66.87","9.03","20.48","243.58","130.84","396100","148","12.5488434207706"
"4","1","2","1","355.75","355.75","2810.96","63.54","67.2","52.67","4.15","65.18","9.02","17.09","202.45","143.6","396100","148","1.55508453408126"
"4","1","2","2","636.96","318.48","3139.91","56.1","70.4","54.29","4.35","66.71","9.14","17.3","232.15","74.17","396100","148","1.49716730589589"
"4","1","2","4","1306.53","326.63","3061.56","55.77","75.06","55.73","5.68","66.35","9.12","18.94","229.96","86.43","396100","148","26.4562816474622"
"4","1","2","8","2765.59","345.7","2892.7","57.05","77.85","63.61","6.24","67.27","9.08","23.78","245.56","84.12","396100","148","13.9428660178822"
"4","1","2","16","5388.56","336.78","2969.26","55.23","78.94","60.55","5.51","67.67","9.08","22.93","247.44","84.6","396100","148","2.76898433751161"
"4","1","4","1","413.86","413.86","2416.25","64.56","75.16","64.35","5.83","68.72","9.06","24.78","258.61","140.42","396100","148","43.0886744832762"
"4","1","4","2","625.59","312.79","3197.01","52.01","70.53","53.4","4.33","65.25","9.11","17.34","218.21","83.47","396100","148","14.0492382494799"
"4","1","4","4","1171.49","292.87","3414.47","50.67","72.17","53.42","4.92","65.18","9.05","18.3","246.47","60.53","396100","148","13.9552344946433"
"4","1","4","8","2644.67","330.58","3024.95","50.12","82.2","59.93","5.25","67.74","9.03","24.75","251.76","63.94","396100","148","7.83670947878161"
"4","1","4","16","4988.58","311.79","3207.33","50.26","75.26","58.36","5.53","67.13","9.05","20.97","244.26","53.92","396100","148","6.50336490925907"
